마카, 67, 174
라가, 85, 161
파라, 68, 187
마차, 41, 177
타차, 70, 147
카나, 41, 177
카자, 81, 140
카가, 41, 177
사바, 96, 149
하마, 84, 151
카차, 76, 170
타자, 53, 176
가사, 57, 180
사라, 70, 162
가카, 55, 141
파가, 97, 148
카타, 93, 184
파카, 95, 187
하자, 68, 169
가마, 44, 164
바카, 59, 181
사자, 52, 166
마사, 94, 170
사바, 48, 160
바다, 79, 148
라파, 92, 187
하바, 77, 177
차가, 94, 143
차차, 93, 173
라파, 41, 175
하가, 60, 142
다파, 62, 176
아자, 93, 146
나차, 79, 184
아카, 48, 168
사사, 82, 151
자나, 77, 155
나자, 78, 176
사차, 83, 153
카파, 87, 182
사자, 56, 186
하자, 66, 168
아라, 75, 147
아마, 41, 166
사다, 85, 171
바바, 57, 175
파카, 63, 156
다카, 65, 168
파자, 72, 183
마나, 98, 143
사하, 56, 159
라라, 73, 151
차아, 90, 145
아하, 70, 185
아하, 56, 179
차마, 58, 140
카카, 46, 187
자사, 59, 156
파다, 55, 181
사마, 81, 144
아카, 95, 153
자나, 49, 153
가라, 92, 142
라타, 60, 168
다아, 69, 156
라마, 61, 174
사파, 52, 150
차라, 92, 150
사자, 60, 180
카사, 93, 161
가나, 69, 143
하다, 44, 152
나나, 86, 183
자차, 81, 177
마바, 67, 161
사나, 61, 184
카타, 46, 186
카파, 57, 148
자자, 85, 177
타사, 92, 188
타카, 93, 176
라라, 68, 154
바다, 64, 141
마라, 74, 189
하마, 62, 157
사다, 97, 185
나아, 86, 170
카하, 84, 143
자하, 55, 162
마파, 63, 164
아다, 69, 156
아라, 70, 145
아다, 48, 181
타사, 91, 161
가가, 54, 151
하사, 80, 151
자타, 71, 185
차차, 97, 176
하자, 76, 147
사나, 61, 170
아라, 81, 174
라가, 91, 183
라하, 98, 161
아타, 70, 171
타다, 74, 163
차다, 70, 164
라바, 59, 146
가아, 85, 141
가아, 98, 159
사나, 51, 141
카아, 94, 170
다나, 54, 176
하자, 92, 168
마카, 40, 159
차파, 91, 189
파파, 98, 174
아나, 87, 186
사사, 83, 142
타다, 95, 177
바다, 66, 177
자라, 70, 187
하타, 45, 151
아사, 58, 164
다바, 51, 180
차나, 90, 177
아카, 48, 153
사마, 66, 179
파마, 86, 175
하하, 96, 146
라카, 85, 187
마마, 84, 141
타다, 60, 162
바라, 41, 177
차하, 43, 140
자아, 72, 179
카카, 97, 142
마자, 82, 186
가라, 94, 168
파자, 81, 167
차타, 53, 185
바하, 80, 146
자마, 60, 183
마카, 86, 177
사타, 48, 161
가라, 50, 189
파차, 50, 167
라타, 85, 171
바라, 92, 141
파사, 57, 184
나나, 45, 155
마자, 89, 182
나라, 92, 162
카가, 46, 175
라하, 94, 182
아다, 96, 150
아파, 60, 172
마나, 72, 163
마다, 56, 169
하파, 60, 168
타자, 96, 140
사파, 65, 143
아차, 65, 186
나차, 72, 165
다라, 46, 168
다다, 46, 178
가나, 96, 148
라하, 85, 174
마마, 41, 142
